video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=LHDcEv-YIvQ&pp=ygUTYmVsbGV2dWUgd2FzaGluZ3Rvbg%3D%3D,/@ActionKid,ActionKid,"Walking Downtown Bellevue, WA in April 2023",31K,8 months,"Bellevue is a city located on the east side of Lake Washington, across from Seattle, in the state of Washington, United States.",2024-01-27 21:30:58.436323
/watch?v=HQbCPIeZ0X8&pp=ygUTYmVsbGV2dWUgd2FzaGluZ3Rvbg%3D%3D,/@seattlesmortgagebroker2081,Seattle's Mortgage Broker,BELLEVUE || Seattle Neighborhood Tour,42K,2 years,"Bellevue in Washington is a city by Seattle that has it all. Known for it's shopping malls such as Bellevue Square, world-class ...",2024-01-27 21:30:58.438307
/watch?v=yc5ixOmfnuo&pp=ygUTYmVsbGV2dWUgd2FzaGluZ3Rvbg%3D%3D,/@worldin4k_1,World in 4K,"Beauty of Bellevue, Washington in 4K| World in 4K",6.3K,11 months,"World in 4K presents you the beauty of Bellevue, a city in the Eastside region of King County, Washington, United States, located ...",2024-01-27 21:30:58.440100
/watch?v=8yOBAc54IlU&pp=ygUTYmVsbGV2dWUgd2FzaGluZ3Rvbg%3D%3D,/@TravelScout23,TravelScout,Bellevue Washington: Best Things To Do and Visit,4.9K,9 months,"In this video, we'll share with you our top picks for things to do and visit in Bellevue, Washington. From the best restaurants to the ...",2024-01-27 21:30:58.445587
/watch?v=WwS9pa4PgB8&pp=ygUTYmVsbGV2dWUgd2FzaGluZ3Rvbg%3D%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Why EVERYONE LOVES Living In Bellevue Washington,7.1K,7 months,Moving to the Seattle area? Feel free to schedule a free 30 minute consultation call with Bryce to talk about your move to the ...,2024-01-27 21:30:58.447957
/watch?v=VKWpGqWMVRE&pp=ygUTYmVsbGV2dWUgd2FzaGluZ3Rvbg%3D%3D,/@LivinginSeattleWashington,Living in Seattle Washington,Don't Move to Bellevue Unless You Can Handle These 5 Things,5.5K,7 months,Don't Move To Bellevue Washington Unless You Can Handle These 5 Things. Are you considering Bellevue Washington to be ...,2024-01-27 21:30:58.449722
/watch?v=pMEeM7HQIu4&pp=ygUTYmVsbGV2dWUgd2FzaGluZ3Rvbg%3D%3D,/@thetravelbosss,The Travel Boss,"TOP 10 Things to do in Bellevue, Washington 2023!",3.9K,8 months,"TOP 10 Things to do in Bellevue, Washington 2023! Bellevue, Washington an amazing place to visit in Washington. If you want to ...",2024-01-27 21:31:06.620483
/watch?v=MNtaA9vCvcc&pp=ygUTYmVsbGV2dWUgd2FzaGluZ3Rvbg%3D%3D,/@beyondtheskylines1,Beyond The Skylines,BELLEVUE WASHINGTON TOUR,1.6K,3 months,"Driving around and exploring Bellevue Washington in 4k tour. Like, share, comment and subscribe for more awesome videos.",2024-01-27 21:31:06.624406
/watch?v=rvcg_gR5t2A&pp=ygUTYmVsbGV2dWUgd2FzaGluZ3Rvbg%3D%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,"What It's Like Living in Bellevue, Washington",2.5K,4 months,"What It's Like Living In Bellevue In this video, I am taking you all around Bellevue Washington. Showing you amenities, downtown, ...",2024-01-27 21:31:06.628083
/watch?v=h-Uha_3Ge0U&pp=ygUTYmVsbGV2dWUgd2FzaGluZ3Rvbg%3D%3D,/@SeattleWashingtonLifeAndLiving,Seattle Washington Life & Living,PROS & CONS Of Living In Bellevue WA: Your Ultimate Guide | Seattle Washington Realtor,1.1K,3 months,Are you thinking about moving to Bellevue Washington? Let's explore the pros & cons of living in Bellevue WA today! If you're ...,2024-01-27 21:31:06.631905
