video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=UqPcHQfsMCk&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@livinginlosangelescaliforn577,Living in Los Angeles California,Living in North Hollywood Los Angeles California [FULL VLOG TOUR],7.5K,1 year,Join me as we take a tour of North Hollywood. As a gateway community between metro Los Angeles and the San Fernando Valley ...,2024-01-27 21:35:54.744393
/watch?v=yC4TuNE_GSM&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@Parker-Green,Parker Green,The TOP Things To Do in NORTH HOLLYWOOD 2023! NoHo HIDDEN GEMS in Los Angeles Travel Guide & Tour,2.9K,1 year,"You've probably heard of Hollywood, but what about North Hollywood?! Today we're going to one of LA's most underrated ...",2024-01-27 21:35:54.747249
/watch?v=Uvt_cixkvXw&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@senoronionsarchives,Señor Onion’s Archives,The North Hollywood Shootout,212K,2 years,"The North Hollywood shootout was a confrontation between two heavily armed and armored bank robbers, Larry Phillips Jr. and ...",2024-01-27 21:35:54.750369
/watch?v=oVvn2Vw63MU&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@Mister.V.,Mister V,4K Los Angeles California. North Hollywood to West Hollywood,3.1K,10 months,Los Angeles California. Driving from North Hollywood to West Hollywood #losangeles #hollywood #california #trending ...,2024-01-27 21:35:54.752746
/watch?v=Di0u8wBJ1fg&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@KTLA5,KTLA 5,North Hollywood pizza shop employees take down armed robber,138K,7 days,Employees of a pizza shop in North Hollywood took down an armed robber and held him at bay until police could arrest him ...,2024-01-27 21:36:02.965002
/watch?v=yKc3ggtGLnQ&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@PopoMedic,Popo Medic,The Heist & Battle of North Hollywood…,3.4M,1 year,"The North Hollywood shootout was a confrontation between two heavily armed and armored bank robbers, Larry Phillips Jr. and ...",2024-01-27 21:36:02.970685
/watch?v=sSkJHLf_7eI&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@Foxla,FOX 11 Los Angeles,Homeless crisis haunts North Hollywood,14K,5 months,"Since the LA Family Housing moved people into North Hollywood, residents say crime and violence has increased in the area.",2024-01-27 21:36:02.973335
/watch?v=ArO9t7niVKE&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@KTLA5,KTLA 5,Nightmare living conditions in North Hollywood,25K,3 months,Residents in a North Hollywood apartment building say management have neglected the facility for so long that they are dealing ...,2024-01-27 21:36:02.975894
/watch?v=-STp7CChXKw&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@superiorkarco4943,SuperiorKar Co,"2008 Honda Ridgeline RTL for sale in North Hollywood, CA",54,2 days,Click here to learn more about this vehicle: https://www.superiorkar.net/vehicle-details/1e06cd3c697dce42bbdc7f2b371b1256 ...,2024-01-27 21:36:02.978761
/watch?v=WxnZkzhprzg&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@RockstarEater,Rockstar Eater,Exploring NORTH HOLLYWOOD: Is it Like Central Hollywood?,7.2K,2 years,"Steve Cha (aka Rockstar Eater) visits the northern part of Hollywood, in a city called North Hollywood, which is above Universal ...",2024-01-27 21:36:02.983648
/watch?v=RKPxEMts56Y&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@ActionKid,ActionKid,Los Angeles LIVE Exploring North Hollywood (Part 1),14K,Streamed 2 years,Los Angeles LIVE Exploring North Hollywood. The live stream ended abruptly due to Verizon having poor service in the area.,2024-01-27 21:36:02.986647
/watch?v=SMRfyX1xC4s&pp=ygUaTm9ydGggaG9sbHl3b29kIGNhbGlmb3JuaWE%3D,/@0nlyBim,0nlyBim,Zero Hour: North Hollywood Shootout (Remastered),70K,2 years,Zero Hour - North Hollywood Shootout (1080p) Upscaled using Topaz Video Enhance AI Buy Zero Hour on Prime video; ...,2024-01-27 21:36:02.993127
